comment,time
1457424928000,不怎么样，比有些面店煮的还差点，就是环境干净了点，不推荐
1451033998000,不好吃，环境还可以，价格偏贵，不推荐
1449231254000,菜还没吃！服务员态度和***一样.以后再也不来了.垃圾垃圾
1444211784000,不咋地，不推荐，没什么人在这吃，味道不好
1443338165000,味道太一般，荷叶饭没有一点荷叶的味道啊，感觉就是热一下拿出来的，不推荐
1430307628000,不推荐，量少不说，东西还难吃。划不来，就是地段不错
1429266323000,虾仁不新鲜，从图片看起来饭很多，结果一次好少，…在说说清汤，就是紫菜加方便面调料…不推荐
1423057479000,一般了，不推荐去！价格偏贵！改善的地方太多，服务意识比较低！
1495522454956,"去年一盘龙虾的份量只比图片少一点，今年龙虾份量明显减少太多，我没有拍照片，但是是据实说话，前几天过去吃的龙虾，差不多只有图片中的一半，同样是两斤龙虾，去年和今年，缩水太多了。
尤其是昨天朋友去另外一家店买龙虾，打包后大小和你家店里四斤龙虾打包完的一样大，我就掂了一下，还蛮重，就随口问了句多少斤，她说是两斤，瞬间我整个人都不好了。同样的大小盒子装的龙虾，同样装的满满当当，你家说是四斤的小龙虾，另外一家说是两斤的小龙虾。
说起来是老顾客了，去年经常去你家吃，也经常带朋友去，推荐朋友去，害的还被朋友说你是不是给我广告代言费了，这么推荐去你家吃，我只是爱吃小龙虾，谁家好吃推荐谁家，只是这次太失望，果然没有对比没有伤害。奉劝老乡一句话，做人还是要稍微实诚点，缺斤少两太多会失去我们这些忠实顾客的。
很认真的打了这份评价，一个给要来吃的人做个参考，一个给店家的小建议。"
1435595061000,不好吃，不推荐。口味不太满意，不新鲜。
1478180735536,还行，羊肉串跟大盘鸡，酸奶推荐，羊肉馕受不了膻味的不推荐，受得了的可以尝试，
1519128796673,一到菜等了半小时，下一道菜半小时，吃的体验真是差。而且还是先付款再等菜，服务员态度真的是爱理不理。下次不来吃了，也不推荐大家来吃。
1528019242019,东西很少 吃一次就可以了  下次就不去了 太少了
1527929806871,很负责任的说，这家是我吃过最差的一家海鲜自助，菜品少也就算了，菜的质量还不好，提到服务就差的不能再差了，一样的价格，我在深海八百米吃人家服务不要太好，就是温州没有找到。另外另外另外，火锅居然不给我换汤，火锅汤都脏得不行，都是海鲜的泥了！！居然说还没臭不给换！！第一次吃火锅还不给换清汤的，白开水都不给换！！搞事情呢，臭了你吃啊。。另外评论里的好评肯定都是托！！
1526284542975,菜类太少了   而且没有牛排  也没有皮皮虾
1519658567219,新鲜的没有，全不是冰冻的海鲜。希望有待提高活的海鲜
1518432932343,还没到8点，要牛排，煎牛排的人直接说要等半小时，然后半小时过去看还是没有，摆明了不想供应，然后去要牛肉和羊肉，弄的人一副欠他一百万似得，把牛肉狠狠的的放到桌上，我说多给我一点他拿了几个牛肉重重的放在我盘子里，旁边的客人问牙签，他们说牙签自己拿，我在这里说下，国内的自助餐厅很自以为是的以为自助就是不需要服务，我告诉你们，你可以不提供服务，但是我们也可以不选择你们
1518135981004,菜品少，味道差，还把时间限的死死的。而且东西也不新鲜。主要价格还死贵死贵的。不会再去了，不推荐大家去。就这价格都可以去温州国际大酒店的自助餐厅吃了。
1516622458178,我只是觉得自己弄的海鲜不好吃。还是要去海鲜馆点专门的海鲜才好吃（因为口味各异）。这种海鲜自助是里面放点盐直接用水煮（为了吃海鲜的鲜味，但是这里的海鲜并不是很新鲜），我还是比较喜欢专门的海鲜店。
1515150967097,推荐大家不要来，味道，和菜品都少，特别是店里的服务员，态度差！水煮开了，就跑过来把开关按点，说都不说一下，吓我一跳！很反感，下次再也不来了，建议大家别来，还不如去悦四海
1527423191687,贝壳类的菜品沙子太多？。。。。。。。。。
1501647982204,很久没看美团了 看到待评价 不好吃 味道不好
1482137947880,每样都是推荐菜品，味道还不错，不过不推荐海鲜类，泰式海鲜真的没什么特色。环境蛮好，似乎排烟措施有点问题，坐着能闻到烟味儿。服务生态度不错。
1480156202000,很贵，态度还不好，开个发票还说人没在，不推荐
1511569630860,看美团评价好过来的，结果小失望。店铺在瑞安市上望第一小学附近小河边有点偏。这里就是普通小火锅店，去吃自助火锅的，到店才发现“自助”没了，菜品很少老板人还算客气，朋友聚会不推荐去这里，档次太低。
1523708252926,店铺可能还未正式营业，人员配备完全不够。服务跟不上。鸭翅鸭爪的干锅应该是卤好味道的还不错，不过恶心的是旁边桌里面吃同样的干锅到最后吃出了绳子！绳子！绳子！另外一锅吃了青花椒鱼，味道跟其他专业做鱼的差除十万八千里，片鱼技术太差，太厚不入味。鱼肉不新鲜，随行朋友刚吃了鱼就拉肚子，都有一点恶心。最后走人付款，尽然说除酒水外全场通用的美团券只能用一张，说鱼锅是另外一个品牌不能用，牛逼！消费180+50元券，整体下来完全不如旁边其他吃的店。不推荐。
1527421968452,味道差，服务员一脸懵逼，无服务可言
1520696754602,价格偏高，份量少。不值得推荐！
1516596522644,差评，中午打着25抵50的广告，消费玩以后居然没卷了，虚假广告！
1513767014591,服务一般，不够专业，餐具上来的好慢，要催的
1512908020946,量是很足，但是酸菜鱼真不好吃，不推荐……
1511758036438,不新鲜，味道不正宗，上菜速度又慢的不得了，总共才两桌而已
1501511279633,服务员态度很好，就是东西贵还不好吃，不推荐去。
1528378110751,上菜速度太慢了，等了半个小时，毛都没上，而且那个鱼不知道怎么回事，吃的我反胃，想吐，一整条鱼我就吃了一点点，实在是吃不下去，本来是来吃饭的，结果走的时候还是饿肚子的，真的很扫兴，心情都非常不好了。非常非常的不满意。
1527157227463,去一次就够够的了，。。。。。？。。
1526356849653,店里的环境不错挺高大上的，就是菜品一般。
1523982473842,第一次有面包冰淇淋那个，第二次第三次就没有了，过分
1501138357130,菜的分量是足够的。但味道真的是不敢恭维，整个过程吃到的菜都是苦的，不晓得是不是鱼胆给弄破了，不好吃！
1498808451461,口味一般，看之前的评论说好吃到爆，才想去尝尝，结果被坑了，分量到是很足，3个人都吃不完
comment,time
1510566220595,之前是袋子装的，很多量，这次是盒子装的，20块鸡翅只有4个，鸡爪量也比原来少。以前很喜欢吃，经常买，之前服务的就是老板娘，服务态度非常好，这次去是员工服务，态度一般，不热情，而且一直玩手机。再也不会去了……有点失望
1501819477126,豆干是搜的，鸡脚好吃
1444661838000,位置还是蛮好找，味不怎么样，里面的鸡爪有的是坏的，不推荐买
1528176072818,去得时候都没什么菜啦，人也蛮多得，有些菜类没有也不补。调料味也少得可怜，不会下次去啦
1528012841095,催你走，服务态度像大爷一样，问他爱搭不理！
1527424440264,"专业吃货就客观的说几句
1：虾是那种死了冻的发白软的
2：熟菜区从我吃开始空了也没换过补过
3：海鲜牛肉猪肉类口感太差了

希望我的评价能够让你们改善"
1527061764948,菜品比较少，锅底是我吃过那么多家最难吃的一个，点的鸳鸯锅还另外收8元，辣汤一点味道都没有， 蟑螂蚂蚁到处爬，连最基本的服务都没有
